County Name,County Name,African American,Central and Southwest Asian ,Eastern European ,Far Eastern ,Hispanic ,Jewish ,Mediterranean ,Middle Eastern ,Native American ,Other ,Polynesian ,Scandinavian ,Southeast Asian ,Western European ,,Total,Caucasian,African-American,Hispanic,Asian,Native American,Other
Vance,Vance County,8415,0,9,12,543,15,69,53,16,0,4,13,6,1152,,"10,307",1.03,81.6,5.3,0.21,0.16,0.51
Wake,Wake County,68422,90,2323,3187,25155,2138,14824,5508,660,4,749,1433,1638,59845,,"185,976",11.14,36.8,13.5,3.05,0.35,2.96
Warren,Warren County,3656,0,4,4,136,15,44,15,201,0,1,11,3,363,,"4,453",1.66,82.1,3.1,0.18,4.51,0.34
Washington,Washington County,1558,0,7,4,74,4,42,6,6,0,3,4,2,436,,"2,146",2.66,72.6,3.4,0.42,0.28,0.28
Watauga,Watauga County,318,9,147,109,692,191,656,81,19,0,18,104,43,5532,,"7,919",13.87,4,8.7,2.26,0.24,1.02
Wayne,Wayne County,11032,2,58,99,2734,91,607,142,56,1,42,79,13,5124,,"20,080",4.16,54.9,13.6,0.78,0.28,0.71
Wilkes,Wilkes County,613,0,34,10,812,78,170,10,15,0,12,66,11,3533,,"5,364",6.49,11.4,15.1,0.62,0.28,0.19
Wilson,Wilson County,9767,0,48,43,1644,48,334,115,30,0,23,56,26,3126,,"15,260",3.18,64,10.8,0.6,0.2,0.75
Yadkin,Yadkin County,256,0,24,5,838,56,170,44,26,0,15,24,7,2113,,"3,578",7.66,7.2,23.4,0.75,0.73,1.23
Yancey,Yancey County,60,1,10,2,95,43,86,8,4,0,1,26,0,1082,,"1,418",11.64,4.2,6.7,0.28,0.28,0.56
