County Name,All African American Ethnic Groups ,Central and Southwest Asian ,Eastern European ,Far Eastern ,Hispanic ,Jewish ,Mediterranean ,Middle Eastern ,Native American ,Other ,Polynesian ,Scandinavian ,Southeast Asian ,Western European 
Transylvania,269,0,20,11,231,36,200,20,9,0,10,37,1,1550
Tyrrell,169,0,0,1,15,0,6,1,0,0,1,2,0,118
Union,6950,38,556,387,6457,360,3950,495,148,1,134,256,169,13067
Vance,8415,0,9,12,543,15,69,53,16,0,4,13,6,1152
Wake,68422,90,2323,3187,25155,2138,14824,5508,660,4,749,1433,1638,59845
Warren,3656,0,4,4,136,15,44,15,201,0,1,11,3,363
Washington,1558,0,7,4,74,4,42,6,6,0,3,4,2,436
Watauga,318,9,147,109,692,191,656,81,19,0,18,104,43,5532
Wayne,11032,2,58,99,2734,91,607,142,56,1,42,79,13,5124
Wilkes,613,0,34,10,812,78,170,10,15,0,12,66,11,3533
Wilson,9767,0,48,43,1644,48,334,115,30,0,23,56,26,3126
Yadkin,256,0,24,5,838,56,170,44,26,0,15,24,7,2113
Yancey,60,1,10,2,95,43,86,8,4,0,1,26,0,1082
